,Id,Slur,YouTube,Amazon,Levenshtein,Link,Start Time,Does the audio contain a slur or not?,Original Transcription,"Race of speaker (Caucasian, Asian, South Asian, Black, and Australoid/ Animation)",Actual Word
0,53,ass,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open my ass okay lets do that wow its a cute little toy shop,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open my ass okay lets do that wow its a cute little toy shop,0,https://www.youtube.com/watch?v=0Z9rIS4xNZ0&t=621.36s,622.8,No,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open maya okay lets do that wow its a cute little toy shop,Caucasian Woman,maya
1,218,bitch,his life hey bitch mean,his life hey bitch mean,0,https://www.youtube.com/watch?v=9R4lLcm5p7I&t=168.22s,172.61,,,,
2,312,cocktail,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own cocktail over their head other cool features,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own cocktail over their head other cool features,0,https://www.youtube.com/watch?v=Fw1_1_yKZ78&t=462.88s,464.83,No,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own copter over their head other cool features,,copter
3,326,crap,the red crap is standing on,the red crap is standing on,0,https://www.youtube.com/watch?v=pmQTB3ScUo8&t=725.29s,731.77,No,The red crab is standing on,,crab
4,360,crap,stretchy and sticky and now we have a crap and its green and look at it it looks like its crazy,stretchy and sticky and now we have a crap and its green and look at it it looks like its crazy,0,https://www.youtube.com/watch?v=jrZwy-ybyfA&t=387.169s,389.92,No,stretchy and sticky and now we have a crab and its green and look at it it looks like its crazy,,crab
5,364,crap,if you have any requests or crap ideas that you would like us to explore kindly send us an email at info at simple kids crafts,if you have any requests or crap ideas that you would like us to explore kindly send us an email at info at simple kids crafts,0,https://www.youtube.com/watch?v=irlvY_fyNtQ&t=336.08s,338.24,No,if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple kids crafts,,craft
6,366,crap,if you want to make this crap let me know in the comments below and if you already made it let me know if you did that and how it turned out well,if you want to make this crap let me know in the comments below and if you already made it let me know if you did that and how it turned out well,0,https://www.youtube.com/watch?v=WnijkuQ83TA&t=119.1s,124.37,No,if you want to make this craft let me know in the comments below and if you already made it let me know if you did that and how it turned out well,,craft
7,368,crap,if you have any requests or crap ideas,if you have any requests or crap ideas,0,https://www.youtube.com/watch?v=u5F6eTSvQjw&t=558.27s,560.12,No,if you have any requests or craft ideas,,craft
8,371,crap,love you simple kids crap the reason,love you simple kids crap the reason,0,https://www.youtube.com/watch?v=WTdi0S4t-XM&t=35.19s,37.35,No,love you simple kids crafts the reason,,craft
9,374,crap,make this particular crap if you dont have,make this particular crap if you dont have,0,https://www.youtube.com/watch?v=SnzwfLHGjSg&t=16.43s,18.84,No,make this particular craft if you dont have,,craft
10,375,crap,painting canvas if you like this crap keep on watching until the end so you can see related videos and craft projects measure,painting canvas if you like this crap keep on watching until the end so you can see related videos and craft projects measure,0,https://www.youtube.com/watch?v=eiIBr_MueIo&t=15.45s,20.68,No,painting canvas if you like this craft keep on watching until the end so you can see related videos and craft projects measure,,craft
11,376,crap,this video and that you make this crap at home and,this video and that you make this crap at home and,0,https://www.youtube.com/watch?v=t1ioQ865tBs&t=101.82s,103.72,No,this video and that you make this craft at home and,,craft
12,379,crap,hope that you enjoy this crap and you make it at home and as always thanks for watching our show today and please remember to comment rate and subscribe so we can get your feedback if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple,hope that you enjoy this crap and you make it at home and as always thanks for watching our show today and please remember to comment rate and subscribe so we can get your feedback if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple,0,https://www.youtube.com/watch?v=4YkVBdvP4mw&t=151.489s,152.29,No,hope that you enjoy this craft and you make it at home and as always thanks for watching our show today and please remember to comment rate and subscribe so we can get your feedback if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple,,craft
13,380,crap,make this particular crap if you dont have,make this particular crap if you dont have,0,https://www.youtube.com/watch?v=T1ysw09Gq0Q&t=34.41s,37.25,No,make this particular craft if you dont have,,craft
14,395,crappy,as crappy as ever,as crappy as ever,0,https://www.youtube.com/watch?v=ZphmA0s6M0U&t=22.35s,23.11,No,as grumpy as ever,A Toy speaking,grumpy
15,599,dope,even a dope feature,even a dope feature,0,https://www.youtube.com/watch?v=gCGKA-HBlrc&t=222.61s,229.27,No,even adult teacher,,adult
16,685,drug,like no stall and shifty or the shifty shifty drug or something like that so they are going to be sitting in here watching,like no stall and shifty or the shifty shifty drug or something like that so they are going to be sitting in here watching,0,https://www.youtube.com/watch?v=Fsg53r3US_w&t=322.45s,328.15,,,,
17,1376,itch,if you get crumbs in your pajamas theyll make you itch you know,if you get crumbs in your pajamas theyll make you itch you know,0,https://www.youtube.com/watch?v=b0gpqBCi7Q0&t=42.44s,44.06,Yes,if you get crumbs in your pajamas theyll make you itch you know,,
18,1377,itch,himself down here just like how you itch right here dogs like to bite themselves but nice and gently yeah now he cant,himself down here just like how you itch right here dogs like to bite themselves but nice and gently yeah now he cant,0,https://www.youtube.com/watch?v=-Qb0sGzXlpY&t=2320.16s,2322.8,Yes,himself down here just like how you itch right here dogs like to bite themselves but nice and gently yeah now he cant,Caucasian Male,
19,1378,itch,means when youre really sensitive to something and it makes you itch or sneeze,means when youre really sensitive to something and it makes you itch or sneeze,0,https://www.youtube.com/watch?v=CYab-OmaCKo&t=7.9s,9.81,Yes,means when youre really sensitive to something and it makes you itch or sneeze,,
20,1616,killing,my feet are killing me ive been stomping,my feet are killing me ive been stomping,0,https://www.youtube.com/watch?v=BlnOjNQlrFY&t=1175.36s,1177.69,Yes,my feet are killing me ive been stomping,,
21,1629,killing,idea but my feet are killing me ive been stomping,idea but my feet are killing me ive been stomping,0,https://www.youtube.com/watch?v=GtboQTB4RbI&t=2457.52s,2459.87,Yes,idea but my feet are killing me ive been stomping,,
22,1652,killing,is killing me,is killing me,0,https://www.youtube.com/watch?v=3BNPqyJR4Is&t=29.41s,30.68,Yes,is killing me,,
23,1657,killing,wait my next killing me hopefully this works,wait my next killing me hopefully this works,0,https://www.youtube.com/watch?v=eWTA_WDKRdA&t=766.9s,767.91,Yes,wait my neck is killing me hopefully this works,,
24,1665,killing,why are you killing the middle,why are you killing the middle,0,https://www.youtube.com/watch?v=U2YzjRTK6hc&t=214.12s,215.21,,,,
25,1669,kills,aggressive and she kills for sport,aggressive and she kills for sport,0,https://www.youtube.com/watch?v=I1oNEV0keU0&t=450.33s,453.04,Yes,aggressive and she kills for sport,,
26,1730,naked,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have no,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have no,0,https://www.youtube.com/watch?v=8ty_IYSDE9s&t=409.199s,412.64,Yes,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have no,,
27,1735,naked,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have,0,https://www.youtube.com/watch?v=8uDahpuiebE&t=6134.1590000000015s,6137.16,Yes,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have,,
