Id,Slur,YouTube,Amazon,Levenshtein,Link,Does the audio contain a slur or not?,Original Transcription,Actual Word
53,ass,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open my ass okay lets do that wow its a cute little toy shop,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open my ass okay lets do that wow its a cute little toy shop,0,https://www.youtube.com/watch?v=0Z9rIS4xNZ0&t=621.36s,No,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open maya okay lets do that wow its a cute little toy shop,maya
218,bitch,his life hey bitch mean,his life hey bitch mean,0,https://www.youtube.com/watch?v=9R4lLcm5p7I&t=168.22s,,,
312,cocktail,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own cocktail over their head other cool features,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own cocktail over their head other cool features,0,https://www.youtube.com/watch?v=Fw1_1_yKZ78&t=462.88s,No,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own copter over their head other cool features,copter
326,crap,the red crap is standing on,the red crap is standing on,0,https://www.youtube.com/watch?v=pmQTB3ScUo8&t=725.29s,No,The red crab is standing on,crab
360,crap,stretchy and sticky and now we have a crap and its green and look at it it looks like its crazy,stretchy and sticky and now we have a crap and its green and look at it it looks like its crazy,0,https://www.youtube.com/watch?v=jrZwy-ybyfA&t=387.169s,No,stretchy and sticky and now we have a crab and its green and look at it it looks like its crazy,crab
364,crap,if you have any requests or crap ideas that you would like us to explore kindly send us an email at info at simple kids crafts,if you have any requests or crap ideas that you would like us to explore kindly send us an email at info at simple kids crafts,0,https://www.youtube.com/watch?v=irlvY_fyNtQ&t=336.08s,No,if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple kids crafts,craft
366,crap,if you want to make this crap let me know in the comments below and if you already made it let me know if you did that and how it turned out well,if you want to make this crap let me know in the comments below and if you already made it let me know if you did that and how it turned out well,0,https://www.youtube.com/watch?v=WnijkuQ83TA&t=119.1s,No,if you want to make this craft let me know in the comments below and if you already made it let me know if you did that and how it turned out well,craft
368,crap,if you have any requests or crap ideas,if you have any requests or crap ideas,0,https://www.youtube.com/watch?v=u5F6eTSvQjw&t=558.27s,No,if you have any requests or craft ideas,craft
371,crap,love you simple kids crap the reason,love you simple kids crap the reason,0,https://www.youtube.com/watch?v=WTdi0S4t-XM&t=35.19s,No,love you simple kids crafts the reason,craft
374,crap,make this particular crap if you dont have,make this particular crap if you dont have,0,https://www.youtube.com/watch?v=SnzwfLHGjSg&t=16.43s,No,make this particular craft if you dont have,craft
375,crap,painting canvas if you like this crap keep on watching until the end so you can see related videos and craft projects measure,painting canvas if you like this crap keep on watching until the end so you can see related videos and craft projects measure,0,https://www.youtube.com/watch?v=eiIBr_MueIo&t=15.45s,No,painting canvas if you like this craft keep on watching until the end so you can see related videos and craft projects measure,craft
376,crap,this video and that you make this crap at home and,this video and that you make this crap at home and,0,https://www.youtube.com/watch?v=t1ioQ865tBs&t=101.82s,No,this video and that you make this craft at home and,craft
379,crap,hope that you enjoy this crap and you make it at home and as always thanks for watching our show today and please remember to comment rate and subscribe so we can get your feedback if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple,hope that you enjoy this crap and you make it at home and as always thanks for watching our show today and please remember to comment rate and subscribe so we can get your feedback if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple,0,https://www.youtube.com/watch?v=4YkVBdvP4mw&t=151.489s,No,hope that you enjoy this craft and you make it at home and as always thanks for watching our show today and please remember to comment rate and subscribe so we can get your feedback if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple,craft
380,crap,make this particular crap if you dont have,make this particular crap if you dont have,0,https://www.youtube.com/watch?v=T1ysw09Gq0Q&t=34.41s,No,make this particular craft if you dont have,craft
395,crappy,as crappy as ever,as crappy as ever,0,https://www.youtube.com/watch?v=ZphmA0s6M0U&t=22.35s,No,as grumpy as ever,grumpy
599,dope,even a dope feature,even a dope feature,0,https://www.youtube.com/watch?v=gCGKA-HBlrc&t=222.61s,No,even adult teacher,adult
685,drug,like no stall and shifty or the shifty shifty drug or something like that so they are going to be sitting in here watching,like no stall and shifty or the shifty shifty drug or something like that so they are going to be sitting in here watching,0,https://www.youtube.com/watch?v=Fsg53r3US_w&t=322.45s,,,
1376,itch,if you get crumbs in your pajamas theyll make you itch you know,if you get crumbs in your pajamas theyll make you itch you know,0,https://www.youtube.com/watch?v=b0gpqBCi7Q0&t=42.44s,Yes,if you get crumbs in your pajamas theyll make you itch you know,
1377,itch,himself down here just like how you itch right here dogs like to bite themselves but nice and gently yeah now he cant,himself down here just like how you itch right here dogs like to bite themselves but nice and gently yeah now he cant,0,https://www.youtube.com/watch?v=-Qb0sGzXlpY&t=2320.16s,Yes,himself down here just like how you itch right here dogs like to bite themselves but nice and gently yeah now he cant,
