Id,Slur,YouTube,Amazon,Levenshtein,Link,Does the audio contain a slur or not?,Original Transcription,Actual Word,
48,ass,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open my ass okay lets do that wow its a cute little toy shop,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open my ass okay lets do that wow its a cute little toy shop,0,https://www.youtube.com/watch?v=0Z9rIS4xNZ0&t=617.53s,No,ready for a rescue shes going to take to the sky and rescue some penguins to save the day are you ready to get it open maya okay lets do that wow its a cute little toy shop,maya,
80,bitch,his life hey bitch mean,his life hey bitch mean,0,https://www.youtube.com/watch?v=9R4lLcm5p7I&t=167.32s,N/A,,,
114,cocktail,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own cocktail over their head other cool features,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own cocktail over their head other cool features,0,https://www.youtube.com/watch?v=Fw1_1_yKZ78&t=461.7s,No,also exceptionally strong for their size they can lift 10 to 50 times their own weight thats like being a little hero that can lift their own cop car over their head other cool features,cop car,
122,crap,this video and that you make this crap at home and,this video and that you make this crap at home and,0,https://www.youtube.com/watch?v=t1ioQ865tBs&t=101.29s,No,this video and that you make this craft at home and,craft,
125,crap,make this particular crap if you dont have,make this particular crap if you dont have,0,https://www.youtube.com/watch?v=T1ysw09Gq0Q&t=31.76s,No,make this particular craft if you dont have,craft,
127,crap,bit sticky though so when you make this crap remember to go outdoors to blow your bubbles well,bit sticky though so when you make this crap remember to go outdoors to blow your bubbles well,0,https://www.youtube.com/watch?v=ynvLQjhvk2Q&t=125.73s,No,bit sticky though so when you make this craft remember to go outdoors to blow your bubbles well,craft,
132,crap,love you simple kids crap the reason,love you simple kids crap the reason,0,https://www.youtube.com/watch?v=WTdi0S4t-XM&t=31.72s,No,love you simple kids craft the reason,craft,
135,crap,make this particular crap if you dont have,make this particular crap if you dont have,0,https://www.youtube.com/watch?v=SnzwfLHGjSg&t=14.14s,No,make this particular craft if you dont have,craft,
136,crap,painting canvas if you like this crap keep on watching until the end so you can see related videos and craft projects measure,painting canvas if you like this crap keep on watching until the end so you can see related videos and craft projects measure,0,https://www.youtube.com/watch?v=eiIBr_MueIo&t=11.4s,No,painting canvas if you like this craft keep on watching until the end so you can see related videos and craft projects measure,craft,
138,crap,if you have any requests or crap ideas that you would like us to explore kindly send us an email at info at simple kids crafts,if you have any requests or crap ideas that you would like us to explore kindly send us an email at info at simple kids crafts,0,https://www.youtube.com/watch?v=irlvY_fyNtQ&t=330.68s,No,if you have any requests or craft ideas that you would like us to explore kindly send us an email at info at simple kids crafts,craft,
142,crap,if you want to make this crap let me know in the comments below and if you already made it let me know if you did that and how it turned out well,if you want to make this crap let me know in the comments below and if you already made it let me know if you did that and how it turned out well,0,https://www.youtube.com/watch?v=WnijkuQ83TA&t=118.64s,No,if you want to make this craft let me know in the comments below and if you already made it let me know if you did that and how it turned out well,craft,
146,crap,if you have any requests or crap ideas,if you have any requests or crap ideas,0,https://www.youtube.com/watch?v=u5F6eTSvQjw&t=549.29s,No,if you have any requests or craft ideas,craft,
148,crap,stretchy and sticky and now we have a crap and its green and look at it it looks like its crazy,stretchy and sticky and now we have a crap and its green and look at it it looks like its crazy,0,https://www.youtube.com/watch?v=jrZwy-ybyfA&t=386.24s,No,stretchy and sticky and now we have a crab and its green and look at it it looks like its crazy,crab,
160,crap,the red crap is standing on,the red crap is standing on,0,https://www.youtube.com/watch?v=pmQTB3ScUo8&t=718.52s,No,the red crab is standing on,crab,
185,crappy,as crappy as ever,as crappy as ever,0,https://www.youtube.com/watch?v=ZphmA0s6M0U&t=17.85s,No,as crappy as ever,grumpy,
279,dope,even a dope feature,even a dope feature,0,https://www.youtube.com/watch?v=gCGKA-HBlrc&t=222.11s,No,even adults need to learn,adults,
298,drug,like no stall and shifty or the shifty shifty drug or something like that so they are going to be sitting in here watching,like no stall and shifty or the shifty shifty drug or something like that so they are going to be sitting in here watching,0,https://www.youtube.com/watch?v=Fsg53r3US_w&t=321.92s,N/A,,,
335,itch,if you get crumbs in your pajamas they'll make you itch you know,if you get crumbs in your pajamas theyll make you itch you know,0,https://www.youtube.com/watch?v=b0gpqBCi7Q0&t=41.91s,Yes,,,
337,itch,means when you're really sensitive to something and it makes you itch or sneeze,means when youre really sensitive to something and it makes you itch or sneeze,0,https://www.youtube.com/watch?v=CYab-OmaCKo&t=7.6s,Yes,,,
339,itch,himself down here just like how you itch right here dogs like to bite themselves but nice and gently yeah now he cant,himself down here just like how you itch right here dogs like to bite themselves but nice and gently yeah now he cant,0,https://www.youtube.com/watch?v=-Qb0sGzXlpY&t=2314.92s,Yes,,,
342,killing,is killing me,is killing me,0,https://www.youtube.com/watch?v=3BNPqyJR4Is&t=19.72s,Yes,,,
353,killing,wait my next killing me hopefully this works,wait my next killing me hopefully this works,0,https://www.youtube.com/watch?v=eWTA_WDKRdA&t=765.35s,Yes,wait my neck's killing me hopefully this works,,
357,killing,idea but my feet are killing me ive been stomping,idea but my feet are killing me ive been stomping,0,https://www.youtube.com/watch?v=GtboQTB4RbI&t=2449.71s,Yes,,,
358,killing,my feet are killing me ive been stomping,my feet are killing me ive been stomping,0,https://www.youtube.com/watch?v=BlnOjNQlrFY&t=1168.24s,N/A,,,
366,killing,why are you killing the middle,why are you killing the middle,0,https://www.youtube.com/watch?v=U2YzjRTK6hc&t=206.69s,N/A,,,
368,kills,aggressive and she kills for sport,aggressive and she kills for sport,0,https://www.youtube.com/watch?v=I1oNEV0keU0&t=448.54s,Yes,,,
389,naked,dont plan to be a naked piece of poultry,dont plan to be a naked piece of poultry,0,https://www.youtube.com/watch?v=CYab-OmaCKo&t=46.99s,Yes,,,
398,naked,theyre microscopic bugs and they cant be seen by the naked eye,theyre microscopic bugs and they cant be seen by the naked eye,0,https://www.youtube.com/watch?v=O4i4O0xurDs&t=729.23s,Yes,,,
401,naked,theyre microscopic bugs and they cant be seen by the naked eye this seems,theyre microscopic bugs and they cant be seen by the naked eye this seems,0,https://www.youtube.com/watch?v=e8fp3N0SVN0&t=729.23s,Yes,,,
402,naked,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have no,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have no,0,https://www.youtube.com/watch?v=8ty_IYSDE9s&t=408.03s,Yes,,,
403,naked,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have,room another part of the living things exhibit whoa yeah do you see these oh interesting these are naked mole rats wow theyre like rats but they have,0,https://www.youtube.com/watch?v=8uDahpuiebE&t=6132.68s,Yes,,,
404,naked,wilderness you know fully naked or whatever,wilderness you know fully naked or whatever,0,https://www.youtube.com/watch?v=LFbK5sqfMNE&t=596.31s,N/A,,,
411,nymph,jungle nymph whoa what color is she yeah yeah she is the color green i actually knew it was a she because the males are brown and she is green yeah do you see how she looks like a leaf yeah she looks like,jungle nymph whoa what color is she yeah yeah she is the color green i actually knew it was a she because the males are brown and she is green yeah do you see how she looks like a leaf yeah she looks like,0,https://www.youtube.com/watch?v=J7qNMnq8RXI&t=539.59s,Yes,,,
466,racist,people being racist towards their own people so we deal with it first is how shes,people being racist towards their own people so we deal with it first is how shes,0,https://www.youtube.com/watch?v=h1smmKFo1oM&t=61.88s,Yes,,,
467,racist,even experienced people being racist towards their own people,even experienced people being racist towards their own people,0,https://www.youtube.com/watch?v=WPSitp6ZzSg&t=140.82s,Yes,,,
468,racist,what a racist is number four,what a racist is number four,0,https://www.youtube.com/watch?v=RgSiPh5_jWg&t=621.03s,No,what a race this is,race this,
